72 virgins,Answer,Cards Against Humanity
A backpack full of black dildos,Answer,Custom
A bag of magic beans,Answer,Cards Against Humanity
A balanced breakfast,Answer,Cards Against Humanity
A bitch slap,Answer,Cards Against Humanity
A bleached asshole,Answer,Cards Against Humanity
A brain tumor,Answer,Cards Against Humanity
A cooler full of organs,Answer,Cards Against Humanity
A defective condom,Answer,Cards Against Humanity
A disappointing birthday party,Answer,Cards Against Humanity
A fetus,Answer,Cards Against Humanity
A foul mouth,Answer,Cards Against Humanity
A gentle caress of the inner thigh,Answer,Cards Against Humanity
A good sniff,Answer,Cards Against Humanity
A lifetime of sadness,Answer,Cards Against Humanity
A live studio audience,Answer,Cards Against Humanity
A man on the brink of orgasm,Answer,Cards Against Humanity
A mating display,Answer,Cards Against Humanity
A micropenis,Answer,Cards Against Humanity
A middle-aged man on roller skates,Answer,Cards Against Humanity
A monkey smoking a cigar,Answer,Cards Against Humanity
A poorly timed boner,Answer,Custom
A really cool hat,Answer,Cards Against Humanity
A sad handjob,Answer,Cards Against Humanity
A sassy black woman.,Answer,Cards Against Humanity
A sausage festival,Answer,Cards Against Humanity
A sea of troubles,Answer,Cards Against Humanity
A snapping turtle biting the tip of your penis,Answer,Cards Against Humanity
A stray pube,Answer,Cards Against Humanity
A time travel paradox,Answer,Cards Against Humanity
A windmill full of corpses,Answer,Cards Against Humanity
A zesty breakfast burrito,Answer,Cards Against Humanity
Adderall™,Answer,Cards Against Humanity
"Advice from a wise, old black man",Answer,Cards Against Humanity
African Children,Answer,Cards Against Humanity
AIDS,Answer,Cards Against Humanity
Alcoholism,Answer,Cards Against Humanity
Altar boys,Answer,Cards Against Humanity
Amputees,Answer,Cards Against Humanity
An asymmetric boob job,Answer,Cards Against Humanity
An erection that lasts longer than four hours,Answer,Cards Against Humanity
An M. Night Shyamalan plot twist,Answer,Cards Against Humanity
An Oedipus Complex,Answer,Cards Against Humanity
An oversized lollipop,Answer,Cards Against Humanity
An ugly face,Answer,Cards Against Humanity
Anal beads,Answer,Cards Against Humanity
Asians who aren't good at math,Answer,Cards Against Humanity
Auschwitz,Answer,Cards Against Humanity
Authentic Mexican cuisine,Answer,Cards Against Humanity
Autocannibalism,Answer,Cards Against Humanity
Autofellatio,Answer,Custom
Automated technical support,Answer,Custom
AXE Body Spray,Answer,Cards Against Humanity
Balls,Answer,Cards Against Humanity
Barack Obama,Answer,Cards Against Humanity
"Bed, Bath and Beyond",Answer,Custom
Being a dick to children,Answer,Cards Against Humanity
Being a motherfucking sorcerer,Answer,Cards Against Humanity
Being fabulous,Answer,Cards Against Humanity
Being fat and stupid,Answer,Cards Against Humanity
Being marginalized,Answer,Cards Against Humanity
Being on fire,Answer,Cards Against Humanity
Being rich,Answer,Cards Against Humanity
Bill Nye the Science Guy,Answer,Cards Against Humanity
Bingeing and purging,Answer,Cards Against Humanity
Bitches,Answer,Cards Against Humanity
Black people,Answer,Cards Against Humanity
Blue balls,Answer,Custom
Boogers,Answer,Cards Against Humanity
Boxed wine,Answer,Custom
Breaking out into song and dance,Answer,Cards Against Humanity
Brown people,Answer,Cards Against Humanity
Cards Against Humanity,Answer,Cards Against Humanity
Catapults,Answer,Cards Against Humanity
Chainsaws for hands,Answer,Cards Against Humanity
Cheating in the Special Olympics,Answer,Cards Against Humanity
Child abuse,Answer,Cards Against Humanity
Child beauty pageants,Answer,Cards Against Humanity
Children on leashes,Answer,Cards Against Humanity
Chunks of dead hitchhiker,Answer,Cards Against Humanity
Civilian casualties,Answer,Cards Against Humanity
Coat hangar abortions,Answer,Cards Against Humanity
Concealing a boner,Answer,Cards Against Humanity
Consensual sex,Answer,Cards Against Humanity
Copping a feel,Answer,Cards Against Humanity
Cosmopolitan sex tips,Answer,Custom
Count Chocula,Answer,Cards Against Humanity
Crippling dept,Answer,Cards Against Humanity
Crying infants,Answer,Custom
Crystal meth,Answer,Cards Against Humanity
Cuddling,Answer,Cards Against Humanity
Cybernetic enhancements,Answer,Cards Against Humanity
Daddy issues,Answer,Cards Against Humanity
Darth Vader,Answer,Cards Against Humanity
Dead parents,Answer,Cards Against Humanity
Decaffeinated coffee,Answer,Custom
Decorative pillows,Answer,Custom
Destroying the evidence,Answer,Cards Against Humanity
Dick Cheney,Answer,Cards Against Humanity
Dick fingers,Answer,Cards Against Humanity
Doin' it in the butt,Answer,Cards Against Humanity
Doing the right thing,Answer,Cards Against Humanity
Drinking alone,Answer,Cards Against Humanity
Dry heaving,Answer,Cards Against Humanity
Dying,Answer,Cards Against Humanity
Edible underpants,Answer,Cards Against Humanity
Elderly Japanese men,Answer,Cards Against Humanity
