proText, proCreatedOn, proCreatedBy
"___: That was anticlimactic.","2014-09-25 11:01:57",2
"Nothing turns me on more than ___.","2014-09-25 11:01:57",2
"The new Netflix series features ___.","2014-09-25 11:01:57",1
"What does Coca-Cola use to advertise their new Diet soda?","2014-09-25 11:01:57",3
"What is the best homeopathic hangover cure?","2014-09-25 11:01:57",3
"What is vaguely sexual?","2014-09-25 11:01:57",3
"___: Both funny and sexy.","2014-09-25 11:01:57",3
"What makes me realize that hookers just aren't worth it?","2014-09-25 11:01:57",3
"Fake it until you make it.","2014-09-25 11:01:57",3
"___, as a color, would be red. ","2014-09-25 11:01:57",3
"Newsbreak: Putin just annexed ___.","2014-09-25 11:01:57",3
"Newsbreak: Security cameras caught Putin in a hotel lobby with ___ and a 13-year-old gymnast.","2014-09-25 11:01:57",3
"You should never put ___ in a microwave.  Ever. ","2014-09-25 11:01:57",3
"Happiness, it's  ___.  Until you have kids.","2014-09-25 11:01:57",3
"Let ___ hit the floor!","2014-09-25 11:01:57",3
"Tequila and ___: the recipe for a great night.","2014-09-25 11:01:57",3
"For a great time, make it a ___ time.","2014-09-25 11:01:57",3
"New this summer: a romantic comedy where Ryan Reynolds encounters ___.","2014-09-25 11:01:57",3
"What makes you squirm, but in a good way?","2014-09-25 11:01:57",3
"Sorry, I was daydreaming about ___.","2014-09-25 11:01:57",3
"___: my kryptonite","2014-09-25 11:01:57",3
"Our marriage counselor said that ___ would strengthen the relationship.","2014-09-25 11:01:57",3
"If you're suffering from excessive body odor, ask your doctor about ___.","2014-09-25 11:01:57",3
"Have you ever wished that ___ was part of your daily routine?","2014-09-25 11:01:57",3
"Men only ever think about ___.","2014-09-25 11:01:57",3
"Women only ever think about ___ and how their hair looks.","2014-09-25 11:01:57",3
"I may not have much, but I've got ___.","2014-09-25 11:01:57",3
"Breakfast is incomplete without ___ and then having some scrambled eggs.","2014-09-25 11:01:57",3
"What always leads to a bright future?","2014-09-25 11:01:57",3
"What will be the first sign of the Apocalypse?","2014-09-25 11:01:57",3
"A bipartisan welfare bill was passed to help those addicted to ___.","2014-09-25 11:01:57",3
"Some things, like ___, shouldn't be discussed over dinner.","2014-09-25 11:01:57",3
"What is always better the second time?","2014-09-25 11:01:57",3
"___: the 21st century's greatest accomplishment.","2014-09-25 11:01:57",3
"___: Who does that?!","2014-09-25 11:01:57",3
"___: Always a great icebreaker. ","2014-09-25 11:01:57",3
"___: Best kept in the closet.","2014-09-25 11:01:57",3
"How do you set the mood?","2014-09-25 17:02:06",3
"Why is it so filthy in here?","2014-09-27 13:11:48",3
"What is a must-have for the perfect party?","2014-09-27 13:15:41",3
"What is the new get-rich-quick scheme?","2014-09-27 13:16:17",3
"The new Lay's flavor: ___.","2014-09-27 13:21:42",3
"The new book by Nicholas Sparks features a young couple struggling with ___.","2014-09-27 13:23:06",3
"Nothing cheers me up more than ___.","2014-09-27 13:36:57",3
"Your team's star quarterback was suspended for two weeks because of ___.","2014-09-29 12:50:26",3
"Life without ___ would be incredibly dull.","2014-09-29 13:48:06",3
"The used cars salesman finally convinced you to buy the car by throwing in ___.","2014-09-29 14:22:38",3
"The only thing worse than animal cruelty is ___.","2014-09-29 14:51:54",3
"___: Going back to nature","2014-09-29 14:54:34",3
"___: Not that bad after all. ","2014-09-29 15:37:03",3
"Your dad just called and left you a message about ___.","2014-09-29 15:43:22",3
"___ ten times a day will help you lose weight.","2014-09-29 18:44:18",3
"___: dull alone, but more fun when being chased by a tiger.","2014-09-30 10:26:43",3
"What happened to me at Best Buy today?","2014-09-30 10:31:34",3
"Dear tattoo artist, I want an artistic rendering of ___ on my left ankle.","2014-09-30 10:45:42",3
"___: almost worth waiting two and a half hours for.","2014-09-30 10:54:30",3
"___ makes the nursing home bearable for my parents.","2014-09-30 11:38:37",3
"The newest modern Shakespeare adaptation is 'Romeo & Juliet' but with ___.","2014-09-30 11:55:04",3
"___? That's my specialty!","2014-09-30 11:58:38",3
"Newsbreak: Pope Francis released a statement encouraging Catholics to be more open-minded about ___.","2014-09-30 12:53:58",3
"After a long day at work, there is nothing more relaxing than ___.","2014-09-30 12:56:13",3
"The most popular psychology class at my university: ___, a social and cultural investigation.","2014-09-30 13:20:22",3
"The new 'Book of Mormon' features ___.","2014-09-30 13:25:22",3
"___ acceptable in some cultures.  Not worse, just different.","2014-09-30 13:29:32",3
"___? That's the least of our problems.","2014-09-30 13:34:06",3
"I can't fall asleep without ___.","2014-09-30 13:36:53",3
"Crime-fighters in Mexico are trading ___ for old machine guns.","2014-09-30 13:40:31",3
"I just enrolled in a community college class to study ___.","2014-09-30 13:44:52",3
"What is the spice of life?","2014-09-30 13:51:31",3
"I just became a member of the International ___ Society. ","2014-09-30 16:00:25",3
"The far right is pushing hard to make ___ illegal.","2014-09-30 16:03:40",3
"Last year alone, two dozen Americans died from ___.","2014-09-30 16:07:58",3
"___, what could go wrong?","2014-09-30 23:27:54",3
"Sexy times call for ___.","2014-09-30 23:35:31",3
"Last night, I had a dirty dream about ___.","2014-10-02 16:29:51",3
"John Lennon was wrong... All You Need Is ___.","2014-10-02 16:30:46",3
"In ___ we trust. ","2014-10-02 16:31:36",3
"___: better than sex. ","2014-10-02 16:33:05",3
"\"This is 9-1-1, what is your emergency?\"","2014-10-02 16:36:07",3
"I can't last a day without ___.","2014-10-06 13:23:45",3
"Sex, drugs, and ___.","2014-10-06 13:25:26",3
"Westboro Baptist Church announced its condemnation of ___.","2014-10-06 13:32:23",3
"Coming this summer: Avengers III, \"Age of ___.\"","2014-10-06 13:36:48",3
"Why was I teased in middle school?","2014-10-06 13:40:53",3
"Disney has censored ___ out of their earlier cartoons. ","2014-10-06 13:45:27",3
"The weekend is here! It's time for ___.","2014-10-06 13:47:56",3
"___: that was awkward. ","2014-10-06 13:56:18",3
"Why am I limping?","2014-10-06 13:58:38",3
"My new diet consists of drinking lots of water and ___.","2014-10-06 14:03:09",3
"I racked up a $5,000 hospital bill after an encounter with ___.","2014-10-08 15:01:45",3
"Money can't buy ___.","2014-10-09 21:09:35",3
"Don't forget to bring me back __ from your trip to China.","2014-10-09 21:11:22",3
"What makes you think of your boss?","2014-10-09 21:14:33",3
"Why did I move to Africa?","2014-10-09 21:15:52",3
"I just saw an advertisement for ___ on porn hub.","2014-10-09 21:18:07",3
"Why does your dad have a book about ___?","2014-10-09 21:18:54",3
"In an alternate universe, Abraham Lincoln was impeached because of ___.","2014-10-09 21:40:28",3
"What makes Las Vegas fun?","2014-10-09 21:41:23",3
"All my Canadian friends love ___.","2014-10-09 21:42:14",3
"For a LIMITED TIME ONLY, buy two, get one free!","2014-10-09 21:45:49",3
"___.  I guess we will make due.","2014-10-09 21:49:35",3
"I just ordered a customized credit card featuring a picture of ___.","2014-10-09 21:53:20",3
"Having difficulties with ___?  Maybe try using duct tape.","2014-10-09 21:58:51",3
"Casinos are now giving away free ___ to keep people at the slot machines.","2014-10-09 22:06:03",3
"Trapped in a submarine, you only have ___ to distract you from your impending death.","2014-10-09 22:13:31",3
"What makes you crave Chinese food?","2014-10-09 23:35:44",3
"The next big thing: a social network for ___.","2014-10-13 21:17:59",3
"I hope that someday we can live in a world without ___.","2014-10-13 21:19:22",3
"___: Obama's worst nightmare.","2014-10-13 21:34:27",3
"Are you sure that you want to delete ___?","2014-10-13 21:43:44",3
"Praise be to ___.","2014-10-18 23:36:49",3
"Feminism's worst enemy is ___.","2014-10-18 23:41:01",3
"No breakfast is complete without ___.","2014-10-18 23:43:58",3
"You can now fund ___ on Kickstarter.","2014-10-18 23:49:37",3
"I often lay down and fantasize about ___.","2014-10-20 18:12:07",3
"If my parents knew about my involvement with ___, they would disown me.","2014-10-20 18:13:35",3
"Experts are still unable to explain ___.","2014-10-20 18:18:11",3
"___: everyone thought it was just a fad. They were wrong.","2014-10-20 18:20:13",3
"___: only okay when you are in college.","2014-10-20 18:27:36",3
"___: really not as bad as it sounds.","2014-10-20 18:36:03",3
"___: good enough for America, good enough for me.","2014-10-20 18:41:03",3
"___: maybe not the best solution, but the job gets done.","2014-10-20 18:43:13",3
"___ will be the beginning of the end for civilization as we know it.","2014-10-20 18:46:06",3
"I hope that one day we can put aside our differences and live in a world without ___.","2014-10-20 18:51:42",3
"___: the video game.","2014-10-20 18:58:39",3
"The FDA has just decried the negative effects of ___ on our children's health.","2014-10-20 19:02:57",3
"___: nothing more than a pesky nuisance.","2014-10-20 19:08:50",3
"I prefer ___ wrapped in bacon and deep fried.","2014-10-22 18:54:52",3
"In the name of the father, the son, and ___. Amen.","2014-10-22 18:58:45",3
"Only two things are permanent: death and ___.","2014-10-22 19:00:41",3
"It's important to supplement your diet with ___ to stay healthy.","2014-10-22 19:02:55",3
"While waiting for the bus yesterday I couldn't get my mind off of ___. ","2014-10-22 21:35:34",3
"Drop ___ not bombs.","2014-10-31 12:14:22",3
"In Game of Thrones, Daenerys brings ___ to the people of Yunkai.","2014-10-31 12:28:50",3
"___: the new trend in modern art. ","2014-11-03 18:42:53",3
"You can't have sex without ___, no matter how hard you try. ","2014-11-03 18:50:03",3
"You think that you have it bad? When I was growing up, I had to deal with ___ every day!","2014-11-03 18:51:25",3
"Whenever I play Truth or Dare, I pray that nobody asks me about ___. ","2014-11-03 21:32:06",3
"___: an Aggie's biggest fear.","2014-11-07 17:47:44",3
"This week, South Park will be juxtaposing the War on Drugs with ___.","2014-11-07 18:42:46",3
"UT fans are really just ___ in burnt orange.","2014-11-07 18:59:51",3
"Don't prey on the weak, prey on ___.","2014-11-07 19:00:56",3
"In the next election, the Republican candidate is running on a platform of ___.","2014-11-09 22:32:23",3
"It is impossible for a Democrat to get elected without the help of ___.","2014-11-09 22:55:28",3
"What makes you giggle?","2014-11-13 14:08:43",3
"Why do people always mistake ___ as foreplay?","2014-11-13 14:14:32",3
"People who live in glass houses shouldn't throw ___.","2014-11-13 14:15:47",3
"In the third grade, I brought ___ for show and tell.","2014-11-13 14:18:44",3
"Never have I ever fantasized about ___.","2014-11-13 14:20:15",3
"Laughing about ___ is a good way to get yourself slapped.","2014-11-13 14:24:18",3
"The list of 21st century cliches wouldn't be complete without ___.","2014-11-13 14:40:32",3
"How do you like to exercise? ","2014-11-13 14:43:11",3
"Never trust ___ with your money.","2014-11-13 14:52:59",3
"___.com blurs the lines between social media and pornography.","2014-11-13 14:59:11",3
"My favorite thing about Fall: ___.","2014-11-13 15:04:25",3
"Even deadlier than a great white shark, ___ will devour anything that moves.","2014-11-13 15:46:26",3
"Our family Thanksgiving was ruined by ___. ","2014-11-23 17:03:04",3
